l_english:
 Aban_greek: "Ámpan "
 Bishrid_greek: "Bisros"
 Buhayr_greek: "Boucháir"
 Buhayrid_greek: "Boucháiros"
 Peter_greek: "Pétros"
 Peterid_greek: "Pétrou"
 Buwayh_greek: "Bougouéch"
 Buwayhid_greek: "Bougouéchos"
 David_greek: "Davíd"
 Davidid_greek: "Davíd"
 Dinar_greek: "Dinár"
 Dinarid_greek: "Dináros"
 Dulaf_greek: "Ntouláf"
 Dulafid_greek: "Ntouláfos"
 Fadl 
 Fahr_greek: "Far"
 Fahrid_greek: "Faros"
 Fajr
 Faraj
 Ferdinand_greek: "Ferdinándos"
 Ferdinandid_greek: "Ferdinándou"
